Threshold,Precision,Recall (Sens),Specificity,Youden Index,Accuracy,F1-Score
0.1,0.4964253798033959,0.9737072743207712,0.6851075719474714,0.6588148462682426,0.7548728813559322,0.657591003255401
0.11,0.5075514874141877,0.971954425942156,0.6993573623917295,0.6713117883338855,0.7652542372881356,0.666867107636801
0.12,0.5185533114138093,0.9675723049956179,0.7136071528359877,0.6811794578316057,0.775,0.6752293577981652
0.13,0.5308285163776493,0.9658194566170026,0.7278569432802459,0.6936763998972486,0.7853813559322034,0.6851103512589369
0.14,0.539331366764995,0.9614373356704645,0.7381950265437273,0.6996323622141918,0.7921610169491525,0.6910236220472441
0.15,0.5473209814722083,0.957931638913234,0.7474154791841296,0.7053471180973636,0.7983050847457627,0.6966220522625877
0.16,0.555045871559633,0.9544259421560035,0.7560771165129925,0.710503058668996,0.8040254237288136,0.7019013857557203
0.17,0.5601851851851852,0.9544259421560035,0.7611064543168483,0.7155323964728519,0.8078389830508474,0.7059967585089141
0.18,0.5662148070907195,0.9517966695880806,0.767532830399553,0.7193294999876336,0.8120762711864407,0.7100359594638771
0.19,0.5746822033898306,0.950920245398773,0.7756356524168763,0.7265558978156492,0.8180084745762712,0.7164080554638494
0.2,0.5841423948220065,0.9491673970201577,0.7845766974015088,0.7337440944216667,0.824364406779661,0.7232053422370618
0.21,0.5912568306010929,0.9482909728308502,0.7910030734842135,0.7392940463150637,0.8290254237288136,0.7283742847526086
0.22,0.5969077857537273,0.9474145486415425,0.7960324112880693,0.7434469599296119,0.8326271186440678,0.7323848238482384
0.23,0.6010016694490818,0.9465381244522348,0.7996647108130763,0.7462028352653112,0.8351694915254237,0.7351940095302927
0.24,0.604494382022472,0.9430324276950044,0.8032970103380833,0.7463294380330878,0.8370762711864407,0.7367339952071208
0.25,0.6083995459704881,0.9395267309377738,0.80720871751886,0.7467354484566338,0.8391949152542373,0.7385463313813296
0.26,0.614105504587156,0.9386503067484663,0.811958647666946,0.7506089544154122,0.8425847457627119,0.7424610051993068
0.27,0.6180555555555556,0.9360210341805434,0.815590947191953,0.7516119813724964,0.8447033898305085,0.7445102823283374
0.28,0.6215743440233236,0.9342681858019282,0.8186644314054206,0.7529326172073487,0.8466101694915255,0.7464985994397759
0.29,0.6257344300822562,0.9333917616126205,0.8220173232746577,0.7554090848872783,0.8489406779661017,0.7492085824832923
0.3,0.6308605341246291,0.9316389132340053,0.8262084381112043,0.7578473513452095,0.8516949152542372,0.7523000707714084
0.31,0.6351674641148325,0.9307624890446976,0.8295613299804414,0.7603238190251389,0.8540254237288135,0.7550657660860292
0.32,0.6379518072289156,0.9281332164767747,0.8320759988823694,0.760209215359144,0.8552966101694915,0.756158514816137
0.33,0.6402180496668686,0.9263803680981595,0.8340318524727578,0.7604122205709172,0.8563559322033898,0.7571633237822349
0.34,0.6454767726161369,0.9255039439088519,0.8379435596535345,0.7634475035623864,0.8591101694915254,0.7605329492257832
0.35,0.650401482396541,0.922874671340929,0.8418552668343112,0.7647299381752402,0.8614406779661017,0.7630434782608696
0.36,0.6545908806995627,0.9184925503943909,0.8454875663593182,0.763980116753709,0.863135593220339,0.7644055433989788
0.37,0.6566037735849056,0.9149868536371604,0.8474434199497066,0.7624302735868671,0.863771186440678,0.7645551080190407
0.38,0.6603053435114504,0.9097283085013146,0.8507963118189439,0.7605246203202585,0.8650423728813559,0.7652045705860671
0.39,0.6628205128205128,0.9062226117440841,0.853031573065102,0.759254184809186,0.8658898305084746,0.7656423546834505
0.4,0.6696950032446464,0.9044697633654689,0.857781503213188,0.7622512665786569,0.8690677966101695,0.7695749440715883
0.41,0.6725375081539465,0.9035933391761612,0.8597373568035764,0.7633306959797377,0.8703389830508474,0.7711293941660434
0.42,0.6765480895915679,0.9000876424189308,0.8628108410170439,0.7628984834359747,0.871822033898305,0.7724708537044002
0.43,0.6815159574468085,0.8983347940403155,0.8661637328862811,0.7644985269265967,0.8739406779661016,0.775047258979206
0.44,0.6827309236947792,0.8939526730937774,0.86756077116513,0.7615134442589073,0.8739406779661016,0.7741935483870968
0.45,0.6832214765100671,0.8921998247151621,0.8681195864766694,0.7603194111918317,0.8739406779661016,0.7738502470543519
0.46,0.6874154262516915,0.8904469763365469,0.8709136630343671,0.761360639370914,0.875635593220339,0.7758686521573119
0.47,0.6907356948228883,0.8886941279579317,0.8731489242805253,0.7618430522384569,0.8769067796610169,0.7773093139133768
0.48,0.699585635359116,0.887817703768624,0.8784576697401508,0.7662753735087748,0.8807203389830508,0.7825415218230978
0.49,0.7062107466852756,0.8869412795793163,0.8823693769209277,0.7693106565002439,0.8834745762711864,0.7863247863247863
0.5,0.7070777855641205,0.8843120070113936,0.8832075998882369,0.7675196068996306,0.8834745762711864,0.7858255451713395
