Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.838272650296359,0.6312849162011173,0.7929824561403509,0.702954898911353,0.9134320175438595
Random Forest,0.8120237087214225,0.5887323943661972,0.7333333333333333,0.653125,0.8711387844611529
KNN,0.5359864521591872,0.31911966987620355,0.8140350877192982,0.45849802371541504,0.6638862781954887
SVC,0.8357324301439458,0.6274509803921569,0.7859649122807018,0.6978193146417445,0.9124020989974937
LightGBM,0.8899237933954276,0.7259475218658892,0.8736842105263158,0.7929936305732485,0.957111528822055
